期间,开始日期,结束日期,持有标的,策略收益率,纳指基准收益率,超额收益,超额收益数值,是否跑赢纳指
1,2024-01-02,2024-01-10,纳指科技ETF,0.65%,0.65%,0.00%,0.0,False
2,2024-01-10,2024-01-19,易方达黄金ETF,0.26%,5.34%,-5.08%,-5.076663269033932,False
3,2024-01-19,2024-03-26,纳指科技ETF,22.36%,22.36%,0.00%,0.0,False
4,2024-03-26,2024-05-16,易方达黄金ETF,9.08%,0.29%,8.80%,8.796245590644514,True
5,2024-05-16,2024-07-16,纳指科技ETF,20.85%,20.85%,0.00%,0.0,False
6,2024-07-16,2024-08-08,易方达黄金ETF,-2.83%,-19.67%,16.84%,16.836412769631202,True
7,2024-08-09,2024-08-16,易方达黄金ETF,1.06%,13.30%,-12.24%,-12.239277247644289,False
8,2024-08-16,2024-08-20,纳指科技ETF,-0.37%,-0.37%,0.00%,0.0,False
9,2024-08-20,2024-08-28,易方达黄金ETF,0.27%,-1.19%,1.46%,1.462560355177811,True
10,2024-08-28,2024-09-10,纳指科技ETF,-7.67%,-7.67%,0.00%,0.0,False
11,2024-09-10,2024-11-15,易方达黄金ETF,3.08%,5.36%,-2.27%,-2.2735223238578905,False
12,2024-11-15,2024-11-19,纳指科技ETF,0.39%,0.39%,0.00%,0.0,False
13,2024-11-22,2024-11-27,易方达黄金ETF,-1.85%,-0.39%,-1.46%,-1.4550210785203355,False
14,2024-11-27,2024-11-28,纳指科技ETF,-0.85%,-0.85%,0.00%,0.0,False
15,2024-11-28,2024-12-03,易方达黄金ETF,1.06%,1.12%,-0.07%,-0.06794060082524478,False
16,2024-12-03,2024-12-04,纳指科技ETF,0.20%,0.20%,0.00%,0.0,False
17,2024-12-04,2024-12-06,易方达黄金ETF,-0.44%,0.46%,-0.90%,-0.8954415764968138,False
18,2024-12-06,2024-12-09,纳指科技ETF,0.19%,0.19%,0.00%,0.0,False
19,2024-12-19,2025-01-16,纳指科技ETF,1.30%,1.30%,0.00%,0.0,False
20,2025-01-16,2025-05-13,易方达黄金ETF,19.76%,-9.19%,28.96%,28.95595922132329,True
21,2025-05-13,2025-06-18,纳指科技ETF,5.13%,5.13%,0.00%,0.0,False
22,2025-06-18,2025-06-23,易方达黄金ETF,-0.52%,-1.60%,1.08%,1.0848292262042758,True
23,2025-06-23,2025-09-04,纳指科技ETF,21.46%,21.46%,0.00%,0.0,False
24,2025-09-04,2025-09-29,易方达黄金ETF,6.57%,10.74%,-4.17%,-4.17339662520353,False
25,2025-09-29,2025-10-17,纳指科技ETF,1.70%,1.70%,0.00%,0.0,False
26,2025-10-17,2025-10-27,易方达黄金ETF,-6.91%,6.72%,-13.63%,-13.632336089301011,False
